record_id,age_group_code,city_tier_code,income_q_code,edu_level_code,age_group_label,city_tier_label,income_q_label,edu_level_label,household_size,purchase_freq_per_month,transaction_value_inr,digital_literacy_score,consumer_awareness_index,price_sensitivity,product_availability,age_scaled,tier_scaled,income_scaled,perceived_quality,adoption_score,adoption_binary
2917,3,0,4,0,46-55,Tier-1,Bottom_20pct,Below_Secondary,1,9.197,1194.49,0.2029,0.3332,0.614,0.4739,0.25,1.0,0.0,0.3308,0.371,0
2918,1,0,1,0,26-35,Tier-1,60_80pct,Below_Secondary,3,5.107,421.32,0.3731,0.3831,0.6187,0.6368,0.75,1.0,0.75,0.4671,0.5346,1
2919,1,2,0,2,26-35,Tier-3,Top_20pct,Graduate,4,2.121,233.25,0.602,0.5998,0.69,0.3103,0.75,0.0,1.0,0.2418,0.4991,0
2920,1,0,0,2,26-35,Tier-1,Top_20pct,Graduate,5,1.0,99.69,0.5351,0.6548,0.6541,0.5426,0.75,1.0,1.0,0.3574,0.5652,1
2921,2,1,3,2,36-45,Tier-2,20_40pct,Graduate,1,11.526,765.14,0.8412,0.6177,0.5087,0.667,0.5,0.5,0.25,0.2156,0.5253,1
2922,3,0,2,3,46-55,Tier-1,40_60pct,Postgraduate,4,15.566,407.68,0.1253,0.7433,0.5354,0.7729,0.25,1.0,0.5,0.3572,0.5962,1
2923,0,2,3,0,18-25,Tier-3,20_40pct,Below_Secondary,6,6.343,1907.67,0.8833,0.2898,0.6047,0.3998,1.0,0.0,0.25,0.3413,0.394,0
2924,1,0,3,0,26-35,Tier-1,20_40pct,Below_Secondary,1,5.878,1165.95,0.0438,0.3274,0.6374,0.5745,0.75,1.0,0.25,0.5574,0.5352,1
2925,3,2,4,3,46-55,Tier-3,Bottom_20pct,Postgraduate,4,3.858,2331.21,0.437,0.7505,0.5392,0.2808,0.25,0.0,0.0,0.5129,0.4659,0
2926,3,2,3,2,46-55,Tier-3,20_40pct,Graduate,2,17.791,175.21,0.282,0.6415,0.4857,0.2982,0.25,0.0,0.25,0.4679,0.4407,0
2927,4,1,3,1,55+,Tier-2,20_40pct,Secondary,4,5.923,279.14,0.77,0.4473,0.4726,0.4446,0.0,0.5,0.25,0.2928,0.3963,0
2928,2,0,2,2,36-45,Tier-1,40_60pct,Graduate,3,1.0,994.9,0.4748,,0.5439,0.6736,0.5,1.0,0.5,0.3638,0.656,1
2929,1,1,1,3,26-35,Tier-2,60_80pct,Postgraduate,2,1.0,2211.47,,0.737,0.5664,0.5355,0.75,0.5,0.75,0.3954,0.6865,1
2930,2,2,2,2,36-45,Tier-3,40_60pct,Graduate,7,16.562,5872.88,0.1225,0.649,0.6951,0.386,0.5,0.0,0.5,0.5628,0.3891,0
2931,2,2,2,2,36-45,Tier-3,40_60pct,Graduate,2,14.348,980.53,0.8685,0.4759,0.5799,0.3701,0.5,0.0,0.5,0.5548,0.3927,0
2932,0,0,2,1,18-25,Tier-1,40_60pct,Secondary,3,4.08,683.28,0.1234,0.3917,0.6689,,1.0,1.0,0.5,0.3657,0.6671,1
2933,2,2,0,1,36-45,Tier-3,Top_20pct,Secondary,1,1.205,1437.12,0.613,0.5126,0.6985,0.3094,0.5,0.0,1.0,0.6093,0.2996,0
2934,2,0,2,3,36-45,Tier-1,40_60pct,Postgraduate,2,4.379,381.01,0.3583,0.7719,0.698,0.8626,0.5,1.0,0.5,0.5254,0.6,1
2935,0,1,2,2,18-25,Tier-2,40_60pct,Graduate,1,7.21,326.25,0.5,0.6503,0.6147,0.5767,1.0,0.5,0.5,0.5703,0.6622,1
2936,2,2,2,1,36-45,Tier-3,40_60pct,Secondary,5,1.0,1115.7,0.1553,0.5424,0.6826,0.3691,0.5,0.0,0.5,0.4907,0.4462,0
2937,2,0,1,2,36-45,Tier-1,60_80pct,Graduate,7,8.653,1254.57,0.385,0.7445,0.6059,0.5395,0.5,1.0,0.75,0.5355,0.5904,1
2938,4,2,2,2,55+,Tier-3,40_60pct,Graduate,4,3.126,640.98,0.4123,0.4351,0.7037,0.3532,0.0,0.0,0.5,0.4392,0.2904,0
2939,0,1,1,1,18-25,Tier-2,60_80pct,Secondary,7,3.11,311.66,0.5664,0.5484,0.634,0.3137,1.0,0.5,0.75,0.57,0.4324,0
2940,1,2,3,2,26-35,Tier-3,20_40pct,Graduate,4,2.849,1649.31,0.5963,0.6994,0.5419,0.2125,0.75,0.0,0.25,0.5286,0.4044,0
2941,2,0,2,0,36-45,Tier-1,40_60pct,Below_Secondary,3,5.886,200.3,0.5077,0.5497,0.6675,0.7194,0.5,1.0,0.5,0.5393,0.625,1
2942,1,1,1,1,26-35,Tier-2,60_80pct,Secondary,3,1.175,735.39,0.1773,0.4578,0.679,0.5192,0.75,0.5,0.75,0.5239,0.554,1
2943,2,2,0,2,36-45,Tier-3,Top_20pct,Graduate,6,4.665,948.05,0.8606,0.6667,0.6648,0.4309,0.5,0.0,1.0,0.5336,0.5133,1
2944,2,0,3,0,36-45,Tier-1,20_40pct,Below_Secondary,4,1.0,384.63,0.1167,0.4531,0.5693,0.6025,0.5,1.0,0.25,0.3989,0.5424,1
2945,0,0,1,1,18-25,Tier-1,60_80pct,Secondary,5,8.339,2492.4,0.6632,0.3982,0.6284,0.599,1.0,1.0,0.75,0.4076,0.5695,1
2946,1,2,4,3,26-35,Tier-3,Bottom_20pct,Postgraduate,3,8.449,619.44,0.5533,0.8085,0.4795,0.3345,0.75,0.0,0.0,0.5022,0.5704,1
2947,1,0,2,2,26-35,Tier-1,40_60pct,Graduate,5,1.869,443.11,0.1544,0.5515,0.7105,0.5991,0.75,1.0,0.5,0.3933,0.531,1
2948,1,2,1,1,26-35,Tier-3,60_80pct,Secondary,6,1.0,96.64,,0.5381,0.7296,0.2138,0.75,0.0,0.75,0.3187,0.3313,0
2949,3,0,2,1,46-55,Tier-1,40_60pct,Secondary,3,6.887,11439.77,0.9735,0.5854,0.6437,0.6853,0.25,1.0,0.5,0.4782,0.5757,1
2950,3,0,1,1,46-55,Tier-1,60_80pct,Secondary,2,3.176,582.33,0.5941,0.3534,0.6597,0.5923,0.25,1.0,0.75,0.3404,0.3699,0
2951,2,2,3,2,36-45,Tier-3,20_40pct,Graduate,6,12.949,161.29,0.1769,0.6273,0.503,0.2601,0.5,0.0,0.25,0.5233,0.4222,0
2952,2,1,1,1,36-45,Tier-2,60_80pct,Secondary,1,2.181,277.56,0.8508,0.6043,0.6656,0.3912,0.5,0.5,0.75,0.3678,0.4069,0
2953,1,1,4,1,26-35,Tier-2,Bottom_20pct,Secondary,4,9.21,1827.25,0.1652,0.5452,0.5116,0.4393,0.75,0.5,0.0,0.457,0.5075,1
2954,3,1,2,1,46-55,Tier-2,40_60pct,Secondary,1,1.0,266.66,0.132,0.4544,0.6652,0.4133,0.25,0.5,0.5,0.5947,0.4304,0
2955,2,2,3,1,36-45,Tier-3,20_40pct,Secondary,6,7.409,946.92,0.7345,0.3656,0.6679,0.3485,0.5,0.0,0.25,0.5942,0.3807,0
2956,2,0,0,0,36-45,Tier-1,Top_20pct,Below_Secondary,4,5.67,1141.14,0.8348,0.4003,0.7395,0.6673,0.5,1.0,1.0,0.5124,0.5722,1
2957,3,1,1,0,46-55,Tier-2,60_80pct,Below_Secondary,6,3.736,486.84,0.185,0.4357,0.6018,0.5878,0.25,0.5,0.75,0.6282,0.3333,0
2958,1,0,3,3,26-35,Tier-1,20_40pct,Postgraduate,3,12.063,346.38,0.9002,0.7832,0.4227,0.58,0.75,1.0,0.25,0.672,0.664,1
2959,3,1,2,3,46-55,Tier-2,40_60pct,Postgraduate,1,14.238,811.98,0.5648,0.5695,0.5572,0.6296,0.25,0.5,0.5,0.6631,0.5574,1
2960,0,0,0,1,18-25,Tier-1,Top_20pct,Secondary,6,13.274,1101.6,0.8216,0.5853,0.6411,0.5387,1.0,1.0,1.0,0.451,0.588,1
2961,1,0,1,2,26-35,Tier-1,60_80pct,Graduate,6,4.554,157.49,0.5012,,0.5785,0.7715,0.75,1.0,0.75,0.3654,0.6443,1
2962,1,1,1,2,26-35,Tier-2,60_80pct,Graduate,5,3.664,,0.2202,0.689,0.6865,0.5669,0.75,0.5,0.75,0.4834,0.458,0
2963,4,0,2,0,55+,Tier-1,40_60pct,Below_Secondary,6,1.567,1836.41,0.3737,0.3574,0.6289,0.6873,0.0,1.0,0.5,0.536,0.469,0
2964,3,0,1,1,46-55,Tier-1,60_80pct,Secondary,3,1.0,1121.52,0.1917,0.5341,0.6678,0.5918,0.25,1.0,0.75,0.7132,0.5343,1
2965,2,1,1,1,36-45,Tier-2,60_80pct,Secondary,6,4.072,886.17,0.7283,0.5693,0.6793,0.4436,0.5,0.5,0.75,0.6683,0.5245,1
2966,2,1,1,2,36-45,Tier-2,60_80pct,Graduate,2,1.0,336.85,0.3882,0.5583,0.7135,0.501,0.5,0.5,0.75,0.4028,0.468,0
2967,2,2,1,2,36-45,Tier-3,60_80pct,Graduate,1,1.0,1826.2,0.4569,0.5193,0.6594,0.4444,0.5,0.0,0.75,0.5826,0.4451,0
2968,4,1,0,3,55+,Tier-2,Top_20pct,Postgraduate,1,2.206,1798.14,0.3806,0.7478,0.6636,0.3861,0.0,0.5,1.0,0.2078,0.4807,0
2969,1,0,4,2,26-35,Tier-1,Bottom_20pct,Graduate,7,1.034,703.02,0.3394,0.8007,0.5175,0.5857,0.75,1.0,0.0,0.6407,0.633,1
2970,1,1,0,3,26-35,Tier-2,Top_20pct,Postgraduate,2,3.483,509.22,0.9116,0.6022,0.5978,0.632,0.75,0.5,1.0,0.4574,0.557,1
2971,0,0,4,3,18-25,Tier-1,Bottom_20pct,Postgraduate,4,5.449,938.72,0.6004,0.7512,0.605,0.6344,1.0,1.0,0.0,0.3172,0.5737,1
2972,2,2,2,2,36-45,Tier-3,40_60pct,Graduate,3,5.985,842.59,0.8636,0.6186,0.6663,0.3687,0.5,0.0,0.5,0.6388,0.3962,0
2973,2,2,1,1,36-45,Tier-3,60_80pct,Secondary,2,3.805,389.55,0.4742,0.5029,0.6797,0.5088,0.5,0.0,0.75,0.4468,0.4339,0
2974,1,1,1,1,26-35,Tier-2,60_80pct,Secondary,6,3.689,160.02,0.299,0.533,0.753,0.4803,0.75,0.5,0.75,0.5575,0.4881,0
2975,0,1,2,2,18-25,Tier-2,40_60pct,Graduate,5,3.22,826.98,0.7271,0.6776,0.5225,0.5241,1.0,0.5,0.5,0.6858,0.6625,1
2976,3,0,3,2,46-55,Tier-1,20_40pct,Graduate,3,1.407,577.17,0.4658,0.4619,0.6517,0.6615,0.25,1.0,0.25,0.5859,0.4788,0
2977,0,1,2,1,18-25,Tier-2,40_60pct,Secondary,2,5.31,1254.43,0.3123,0.5414,0.6204,0.3834,1.0,0.5,0.5,0.6062,0.4679,0
2978,2,2,0,2,36-45,Tier-3,Top_20pct,Graduate,2,5.351,3075.95,0.7059,0.6369,0.6116,0.4011,0.5,0.0,1.0,0.6777,0.465,0
2979,4,0,4,3,55+,Tier-1,Bottom_20pct,Postgraduate,1,1.477,215.32,0.6466,0.7047,0.4837,0.6673,0.0,1.0,0.0,0.6504,0.6141,1
2980,1,0,4,2,26-35,Tier-1,Bottom_20pct,Graduate,1,6.029,1009.39,0.4436,0.533,0.4986,0.7688,0.75,1.0,0.0,0.6122,0.5748,1
2981,1,1,2,1,26-35,Tier-2,40_60pct,Secondary,1,9.76,182.56,0.6211,,0.5624,0.5119,0.75,0.5,0.5,0.2804,0.5219,1
2982,2,1,2,2,36-45,Tier-2,40_60pct,Graduate,7,4.516,2375.34,0.4585,0.47,,0.5121,0.5,0.5,0.5,0.7269,0.4406,0
2983,3,0,2,0,46-55,Tier-1,40_60pct,Below_Secondary,3,1.0,273.74,0.9233,0.4439,0.7838,0.635,0.25,1.0,0.5,0.4885,0.4796,0
2984,2,2,1,0,36-45,Tier-3,60_80pct,Below_Secondary,6,1.982,346.8,0.7274,0.1547,0.6673,0.211,0.5,0.0,0.75,0.5137,0.268,0
2985,4,0,0,2,55+,Tier-1,Top_20pct,Graduate,4,1.0,394.5,0.0298,0.5757,0.6193,0.6236,0.0,1.0,1.0,0.4556,0.4686,0
2986,0,0,2,2,18-25,Tier-1,40_60pct,Graduate,3,1.798,854.99,,0.754,0.6477,0.5698,1.0,1.0,0.5,0.3127,0.6814,1
2987,1,1,3,1,26-35,Tier-2,20_40pct,Secondary,1,1.191,868.36,0.1802,0.5506,0.6903,0.4235,0.75,0.5,0.25,0.6291,0.4507,0
2988,2,0,0,3,36-45,Tier-1,Top_20pct,Postgraduate,1,4.044,1143.03,0.8947,0.7092,0.5756,0.8123,0.5,1.0,1.0,0.5927,0.6416,1
2989,3,1,2,1,46-55,Tier-2,40_60pct,Secondary,3,2.754,2017.74,0.4819,0.5312,0.6017,0.4444,0.25,0.5,0.5,0.4003,0.4443,0
2990,0,0,3,2,18-25,Tier-1,20_40pct,Graduate,6,6.413,512.04,0.258,0.7166,0.5345,0.6363,1.0,1.0,0.25,0.5624,0.6652,1
2991,3,0,1,2,46-55,Tier-1,60_80pct,Graduate,6,2.255,365.36,0.1567,0.6551,0.6613,0.609,0.25,1.0,0.75,0.4204,0.531,1
2992,2,0,0,1,36-45,Tier-1,Top_20pct,Secondary,2,1.0,285.9,0.6628,0.3582,0.6511,0.6142,0.5,1.0,1.0,0.5453,0.4977,0
2993,1,2,3,1,26-35,Tier-3,20_40pct,Secondary,2,1.346,759.38,0.5631,0.5034,0.6543,0.2168,0.75,0.0,0.25,0.4942,0.3766,0
2994,0,1,1,3,18-25,Tier-2,60_80pct,Postgraduate,1,3.946,662.73,0.7549,0.7605,0.6586,0.5174,1.0,0.5,0.75,0.2054,0.6241,1
2995,3,2,0,1,46-55,Tier-3,Top_20pct,Secondary,7,2.988,191.48,0.6183,0.4662,0.6905,0.4676,0.25,0.0,1.0,0.667,0.3823,0
2996,0,0,1,1,18-25,Tier-1,60_80pct,Secondary,1,1.0,1273.13,0.462,0.5911,0.7032,0.7176,1.0,1.0,0.75,0.6972,0.5622,1
2997,1,1,1,1,26-35,Tier-2,60_80pct,Secondary,4,1.178,451.79,0.3358,0.463,0.7337,0.4605,0.75,0.5,0.75,0.2261,0.459,0
2998,1,1,3,0,26-35,Tier-2,20_40pct,Below_Secondary,6,1.76,2648.58,0.3776,0.4794,0.6405,0.4654,0.75,0.5,0.25,0.4684,0.4619,0
2999,3,2,2,3,46-55,Tier-3,40_60pct,Postgraduate,2,6.461,575.12,0.9325,0.4681,0.708,0.3822,0.25,0.0,0.5,0.4291,0.2665,0
3000,2,1,1,0,36-45,Tier-2,60_80pct,Below_Secondary,4,6.555,252.3,0.6116,0.3645,0.6569,0.4944,0.5,0.5,0.75,0.6826,0.4192,0
3001,3,1,2,2,46-55,Tier-2,40_60pct,Graduate,1,5.986,852.36,0.3289,0.5763,0.6132,0.5372,0.25,0.5,0.5,0.6708,0.484,0
3002,1,0,4,1,26-35,Tier-1,Bottom_20pct,Secondary,6,8.531,,0.1036,0.5055,0.5982,0.5857,0.75,1.0,0.0,0.5033,0.5312,1
3003,2,1,0,2,36-45,Tier-2,Top_20pct,Graduate,1,10.353,972.55,0.3811,0.4976,0.606,0.3888,0.5,0.5,1.0,0.4887,0.3964,0
3004,2,1,1,2,36-45,Tier-2,60_80pct,Graduate,4,1.0,2062.55,0.5367,0.6034,0.7803,0.4918,0.5,0.5,0.75,0.586,0.49,0
3005,3,2,4,1,46-55,Tier-3,Bottom_20pct,Secondary,4,3.397,331.09,0.8708,0.4293,0.676,0.2906,0.25,0.0,0.0,0.4903,0.3684,0
3006,3,0,4,3,46-55,Tier-1,Bottom_20pct,Postgraduate,1,1.0,1184.64,0.8235,0.6955,0.5971,0.6795,0.25,1.0,0.0,0.447,0.6642,1
3007,0,0,0,0,18-25,Tier-1,Top_20pct,Below_Secondary,5,2.185,2005.26,0.472,,0.7006,0.6783,1.0,1.0,1.0,0.6154,0.5388,1
3008,2,0,0,2,36-45,Tier-1,Top_20pct,Graduate,1,5.441,911.87,0.2811,0.6864,0.5732,0.7466,0.5,1.0,1.0,0.6709,0.7241,1
3009,0,0,2,3,18-25,Tier-1,40_60pct,Postgraduate,2,4.602,1769.51,0.7745,0.7981,0.5271,0.6494,1.0,1.0,0.5,0.4323,0.7687,1
3010,2,0,0,2,36-45,Tier-1,Top_20pct,Graduate,6,1.0,731.81,0.2934,0.6901,0.583,0.5466,0.5,1.0,1.0,0.71,0.6199,1
3011,1,2,2,2,26-35,Tier-3,40_60pct,Graduate,6,7.075,1881.19,0.1735,0.5992,0.5779,0.2539,0.75,0.0,0.5,0.5473,0.3823,0
3012,1,1,0,0,26-35,Tier-2,Top_20pct,Below_Secondary,7,7.733,1245.45,0.5852,0.3359,0.6377,0.4869,0.75,0.5,1.0,0.6063,0.4152,0
3013,1,2,0,0,26-35,Tier-3,Top_20pct,Below_Secondary,1,1.0,506.9,0.8373,0.3495,0.7903,0.3074,0.75,0.0,1.0,0.5464,0.3136,0
3014,2,2,2,0,36-45,Tier-3,40_60pct,Below_Secondary,3,4.781,479.27,0.3807,0.3001,0.6298,0.0735,0.5,0.0,0.5,0.4831,0.2948,0
3015,1,0,4,3,26-35,Tier-1,Bottom_20pct,Postgraduate,1,14.523,1132.75,0.6035,0.6771,0.5635,0.6209,0.75,1.0,0.0,0.4115,0.6455,1
3016,2,1,2,3,36-45,Tier-2,40_60pct,Postgraduate,5,1.0,472.32,0.7286,0.7688,0.562,0.4632,0.5,0.5,0.5,0.7682,0.4447,0
3017,1,0,1,1,26-35,Tier-1,60_80pct,Secondary,2,1.0,816.04,0.6413,0.5472,0.5705,0.613,0.75,1.0,0.75,0.2867,0.6033,1
3018,0,2,4,1,18-25,Tier-3,Bottom_20pct,Secondary,1,7.252,679.6,0.3582,,0.5448,0.4136,1.0,0.0,0.0,0.4617,0.5125,1
3019,2,0,2,0,36-45,Tier-1,40_60pct,Below_Secondary,4,2.054,304.66,0.1156,0.3743,0.6109,0.3931,0.5,1.0,0.5,0.4688,0.458,0
3020,1,0,1,1,26-35,Tier-1,60_80pct,Secondary,7,15.569,623.66,0.4591,0.4573,0.4928,0.516,0.75,1.0,0.75,0.3811,0.5803,1
3021,1,0,1,1,26-35,Tier-1,60_80pct,Secondary,2,4.896,423.58,0.1965,0.493,0.5991,0.5879,0.75,1.0,0.75,0.4688,0.5748,1
3022,2,1,0,2,36-45,Tier-2,Top_20pct,Graduate,2,3.3,847.95,0.2973,0.6909,0.6231,0.4439,0.5,0.5,1.0,0.0856,0.4791,0
3023,1,0,2,3,26-35,Tier-1,40_60pct,Postgraduate,5,2.06,797.33,0.5708,0.6584,0.6596,0.6709,0.75,1.0,0.5,0.4935,0.6366,1
3024,0,0,2,2,18-25,Tier-1,40_60pct,Graduate,6,1.366,527.03,0.5275,0.5797,0.5924,0.7389,1.0,1.0,0.5,0.5932,0.5975,1
3025,1,2,1,2,26-35,Tier-3,60_80pct,Graduate,4,5.249,581.19,0.2133,0.7725,0.6071,0.2305,0.75,0.0,0.75,0.5096,0.4853,0
3026,4,2,0,2,55+,Tier-3,Top_20pct,Graduate,3,4.483,192.72,0.4565,0.4541,0.7233,0.3428,0.0,0.0,1.0,0.2387,0.198,0
3027,2,0,1,2,36-45,Tier-1,60_80pct,Graduate,1,2.215,1323.76,0.1424,0.7017,0.5222,0.7428,0.5,1.0,0.75,0.5275,0.6507,1
3028,2,1,2,1,36-45,Tier-2,40_60pct,Secondary,3,12.492,428.81,0.6228,0.5058,0.5409,0.3608,0.5,0.5,0.5,0.6692,0.4423,0
3029,2,2,0,1,36-45,Tier-3,Top_20pct,Secondary,6,7.173,1638.28,0.3845,0.4023,0.6457,0.3086,0.5,0.0,1.0,0.5282,0.3306,0
3030,0,0,0,1,18-25,Tier-1,Top_20pct,Secondary,4,1.506,123.21,0.6831,,0.6977,0.7064,1.0,1.0,1.0,0.5932,0.6535,1
3031,1,2,4,2,26-35,Tier-3,Bottom_20pct,Graduate,7,14.356,1316.47,0.5938,0.5086,0.5024,0.2595,0.75,0.0,0.0,0.4706,0.4812,0
3032,2,0,2,3,36-45,Tier-1,40_60pct,Postgraduate,7,7.043,500.38,0.8646,0.7435,0.4797,0.5889,0.5,1.0,0.5,0.6363,0.6525,1
3033,0,1,0,2,18-25,Tier-2,Top_20pct,Graduate,2,11.37,2259.85,0.3898,0.6444,0.7493,0.4658,1.0,0.5,1.0,0.6145,0.538,1
3034,1,1,3,3,26-35,Tier-2,20_40pct,Postgraduate,5,1.0,2032.41,0.0936,0.834,0.6134,0.5893,0.75,0.5,0.25,0.551,0.695,1
3035,1,1,0,0,26-35,Tier-2,Top_20pct,Below_Secondary,5,1.0,5411.6,0.0196,0.3816,0.7211,0.5796,0.75,0.5,1.0,0.6241,0.5169,1
3036,1,2,3,2,26-35,Tier-3,20_40pct,Graduate,2,3.395,1569.4,0.8829,0.6281,0.4642,0.262,0.75,0.0,0.25,0.5126,0.4107,0
3037,4,0,3,3,55+,Tier-1,20_40pct,Postgraduate,5,2.972,330.96,0.5479,0.7674,0.6228,0.7741,0.0,1.0,0.25,0.7374,0.6521,1
3038,0,0,2,2,18-25,Tier-1,40_60pct,Graduate,3,10.194,1579.45,0.8351,0.5086,0.5827,0.6392,1.0,1.0,0.5,0.4305,0.5588,1
3039,1,1,3,3,26-35,Tier-2,20_40pct,Postgraduate,6,1.0,820.83,0.499,0.7268,0.5346,0.6235,0.75,0.5,0.25,0.5586,0.6426,1
3040,0,2,0,2,18-25,Tier-3,Top_20pct,Graduate,2,1.0,349.44,0.8959,0.6335,0.751,0.445,1.0,0.0,1.0,0.551,0.4962,0
3041,4,0,3,1,55+,Tier-1,20_40pct,Secondary,1,3.767,1524.03,0.5335,0.5456,0.6114,0.4906,0.0,1.0,0.25,0.499,0.487,0
3042,0,2,0,1,18-25,Tier-3,Top_20pct,Secondary,1,1.0,712.31,0.981,0.5013,0.6809,0.2954,1.0,0.0,1.0,0.4778,0.3891,0
3043,1,0,1,2,26-35,Tier-1,60_80pct,Graduate,4,1.0,,0.6275,0.5604,,0.8153,0.75,1.0,0.75,0.7006,0.5765,1
3044,2,0,4,3,36-45,Tier-1,Bottom_20pct,Postgraduate,6,1.0,,0.8359,0.8772,0.5395,0.727,0.5,1.0,0.0,0.3654,0.6552,1
3045,2,2,2,0,36-45,Tier-3,40_60pct,Below_Secondary,6,1.0,547.38,0.1489,0.3672,0.5617,0.2138,0.5,0.0,0.5,0.5492,0.2477,0
3046,1,0,4,2,26-35,Tier-1,Bottom_20pct,Graduate,2,2.357,103.03,0.8885,0.6282,0.492,0.4905,0.75,1.0,0.0,0.5897,0.5767,1
3047,1,1,0,2,26-35,Tier-2,Top_20pct,Graduate,6,10.769,105.56,0.2982,0.6417,0.5664,0.3678,0.75,0.5,1.0,0.6666,0.4676,0
3048,1,0,2,0,26-35,Tier-1,40_60pct,Below_Secondary,3,7.148,463.18,0.3821,0.2475,0.7018,0.6472,0.75,1.0,0.5,0.6403,0.4225,0
3049,1,0,0,0,26-35,Tier-1,Top_20pct,Below_Secondary,7,3.777,1278.38,0.0778,0.3189,0.7028,0.6412,0.75,1.0,1.0,0.551,0.324,0
3050,0,1,2,1,18-25,Tier-2,40_60pct,Secondary,6,2.814,1759.74,0.9372,0.5322,0.4367,0.3382,1.0,0.5,0.5,0.3579,0.5808,1
3051,1,1,0,1,26-35,Tier-2,Top_20pct,Secondary,2,3.042,1579.35,,0.5099,0.648,0.498,0.75,0.5,1.0,0.4352,0.4694,0
3052,1,0,0,1,26-35,Tier-1,Top_20pct,Secondary,2,10.799,116.88,0.4846,0.5174,0.6202,0.5143,0.75,1.0,1.0,0.433,0.6038,1
3053,1,1,1,1,26-35,Tier-2,60_80pct,Secondary,3,6.448,363.85,0.0683,0.5595,0.6858,0.5203,0.75,0.5,0.75,0.2911,0.5505,1
3054,2,0,3,0,36-45,Tier-1,20_40pct,Below_Secondary,5,1.0,309.45,0.1074,0.3896,0.75,0.5156,0.5,1.0,0.25,0.5918,0.4993,0
3055,4,1,0,2,55+,Tier-2,Top_20pct,Graduate,3,14.045,1441.27,0.8973,0.6393,0.656,0.4382,0.0,0.5,1.0,0.2853,0.4409,0
3056,2,2,3,2,36-45,Tier-3,20_40pct,Graduate,2,7.412,495.83,0.2288,0.5994,0.6953,0.4186,0.5,0.0,0.25,0.3175,0.429,0
3057,0,2,0,2,18-25,Tier-3,Top_20pct,Graduate,2,1.0,2043.01,0.1549,0.6828,0.7049,0.3523,1.0,0.0,1.0,0.5064,0.5265,1
3058,0,0,0,2,18-25,Tier-1,Top_20pct,Graduate,2,3.488,693.86,0.7568,0.6868,0.6559,0.7729,1.0,1.0,1.0,0.29,0.7289,1
3059,4,0,1,3,55+,Tier-1,60_80pct,Postgraduate,2,5.289,495.77,0.226,0.7774,0.6938,0.6412,0.0,1.0,0.75,0.2715,0.5679,1
3060,1,2,4,3,26-35,Tier-3,Bottom_20pct,Postgraduate,4,1.0,580.25,0.5601,0.7647,0.5035,0.3517,0.75,0.0,0.0,0.8654,0.5724,1
3061,0,1,0,3,18-25,Tier-2,Top_20pct,Postgraduate,7,2.178,190.95,0.1106,0.8937,0.7602,0.6068,1.0,0.5,1.0,0.5252,0.6784,1
3062,2,1,0,1,36-45,Tier-2,Top_20pct,Secondary,5,5.225,416.77,0.0543,0.6487,0.6703,0.5146,0.5,0.5,1.0,0.3892,0.4994,0
3063,2,2,3,3,36-45,Tier-3,20_40pct,Postgraduate,2,8.466,1058.88,0.2708,0.7431,0.6491,0.3391,0.5,0.0,0.25,0.523,0.5084,1
3064,2,0,1,2,36-45,Tier-1,60_80pct,Graduate,4,18.891,591.45,0.277,0.5531,0.7177,0.6815,0.5,1.0,0.75,0.4115,0.5082,1
3065,1,1,3,1,26-35,Tier-2,20_40pct,Secondary,6,1.0,179.4,0.7547,0.5898,0.4558,0.5185,0.75,0.5,0.25,0.3533,0.5261,1
3066,0,2,1,0,18-25,Tier-3,60_80pct,Below_Secondary,2,5.004,59.4,0.5979,0.3231,0.5992,0.2694,1.0,0.0,0.75,0.6941,0.4162,0
3067,4,1,2,2,55+,Tier-2,40_60pct,Graduate,5,11.165,195.35,0.4367,0.6373,0.6498,0.4939,0.0,0.5,0.5,0.4465,0.4894,0
3068,1,0,1,0,26-35,Tier-1,60_80pct,Below_Secondary,7,6.31,250.17,0.9354,0.4187,0.7679,0.6891,0.75,1.0,0.75,0.3209,0.3933,0
3069,2,0,2,1,36-45,Tier-1,40_60pct,Secondary,5,5.004,1515.75,0.9727,0.5419,0.684,0.6668,0.5,1.0,0.5,0.4555,0.5876,1
3070,2,0,3,2,36-45,Tier-1,20_40pct,Graduate,3,1.207,222.38,0.6606,0.5703,0.5296,0.6153,0.5,1.0,0.25,0.3987,0.5779,1
3071,2,2,3,2,36-45,Tier-3,20_40pct,Graduate,4,8.445,434.46,0.17,0.5586,0.4987,0.4274,0.5,0.0,0.25,0.6501,0.3621,0
3072,1,0,2,3,26-35,Tier-1,40_60pct,Postgraduate,6,4.133,219.61,0.1994,0.6822,0.5923,0.6658,0.75,1.0,0.5,0.635,0.6294,1
3073,1,0,4,2,26-35,Tier-1,Bottom_20pct,Graduate,5,1.0,914.49,0.485,0.6008,0.578,0.6854,0.75,1.0,0.0,0.4831,0.6135,1
3074,2,2,1,2,36-45,Tier-3,60_80pct,Graduate,1,13.713,1236.37,0.8548,0.5936,0.7393,0.3499,0.5,0.0,0.75,0.464,0.3557,0
3075,3,0,1,1,46-55,Tier-1,60_80pct,Secondary,2,22.28,1133.22,0.0905,0.5367,0.5998,0.6014,0.25,1.0,0.75,0.6271,0.4709,0
3076,4,0,2,2,55+,Tier-1,40_60pct,Graduate,5,3.857,617.51,0.0023,0.543,0.6184,0.5043,0.0,1.0,0.5,0.5434,0.4855,0
